Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Sparks, Michael","Sparks, Mike",House of Representatives District 49,Won,Won,Republican,Smyrna,Yes,2010,
"Swann, Art","Swann, Art",House of Representatives District 8,Won,Won,Republican,Maryville,Yes,2010,
"Towns, Jr., Joe","Towns, Joe",House of Representatives District 84,Won,Won,Democrat,Memphis,Yes,2010,
"Watson, Bo","Watson, Bo",Senate District 11,Won,Won,Republican,Chattanooga,Yes,2010,
"White, Mark","White, Mark",House of Representatives District 83,Lost,Won,Republican,Memphis,Yes,2010,
"Williams, Ryan","Williams, Ryan",House of Representatives District 42,Lost,Lost,Republican,Cookeville,Yes,2010,
"Yarbro, Jeff","Yarbro, Jeff",Senate District 21,Lost,Lost,Democrat,Nashville,Yes,2010,
"Akard, Joe Mike","Akard, Joe Mike",House of Representatives District 3,Lost,Won,Democrat,Blountville,No,2010,
"Alexander, David","Alexander, David",House of Representatives District 39,Won,Won,Republican,Winchester,No,2010,
"Alexander, Sam","Alexander, Sam",House of Representatives District 18,Lost,Lost,Democrat,Knoxville,No,2010,
"Andreuccetti, John","Andreuccetti, John",House of Representatives District 83,Lost,Lost,Independent,Germantown,No,2010,
"Armstrong, Joe","Armstrong, Joe",House of Representatives District 15,Won,Won,Democrat,Knoxville,No,2010,
"Armstrong, Richard","Armstrong, Richard",House of Representatives District 3,Lost,Lost,Republican,Bristol,No,2010,
"Babian, Edgar A.","Babian, Edgar A.",House of Representatives District 85,Lost,Won,Republican,Germantown,No,2010,
"Bagnell, Jason","Bagnell, Jason",House of Representatives District 32,Lost,Lost,Republican,Kingston,No,2010,
"Baker, Harold","Baker, Harold",House of Representatives District 86,Lost,Won,Republican,Memphis,No,2010,
"Barker, Judy","Barker, Judy",House of Representatives District 77,Lost,Won,Democrat,Union City,No,2010,
"Barry, Allen","Barry, Allen",House of Representatives District 57,Lost,Won,Democrat,Lebanon,No,2010,
"Bass, Eddie","Bass, Eddie",House of Representatives District 65,Won,Won,Democrat,Prospect,No,2010,
"Beavers, Mae","Beavers, Mae",Senate District 17,Won,Won,Republican,Mt. Juliet,No,2010,
"Bell, Mike","Bell, Mike",Senate District 9,Won,Won,Republican,Riceville,No,2010,
"Binkley, Bayron","Binkley, Bayron",Governor,Lost,Won,Independent,Brentwood,No,2010,
"Bone, Stratton","Bone, Stratton",House of Representatives District 46,Lost,Won,Democrat,Lebanon,No,2010,
"Borchert, Willie (Butch)","Borchert, Willie (Butch)",House of Representatives District 75,Lost,Won,Democrat,Camden,No,2010,
"Borck, Gordon","Borck, Gordon",Senate District 17,Lost,Lost,Republican,Lebanon,No,2010,
"Brackett, Karen Sherry","Brackett, Karen Sherry",House of Representatives District 5,Lost,Won,Independent,Johnson City,No,2010,
"Bradley, Tommy","Bradley, Tommy",House of Representatives District 60,Lost,Lost,Democrat,Antioch,No,2010,
"Bricco, Rory","Bricco, Rory",House of Representatives District 81,Lost,Lost,Republican,Covington,No,2010,
"Brooks, Harry","Brooks, Harry",House of Representatives District 19,Won,Won,Republican,Knoxville,No,2010,
"Brooks, Kevin","Brooks, Kevin",House of Representatives District 24,Won,Won,Republican,Cleveland,No,2010,
"Brown, Tommie","Brown, Tommie",House of Representatives District 28,Won,Won,Democrat,Chattanooga,No,2010,
"Bunch, Dewayne","Bunch, Dewayne",Senate District 9,Lost,Lost,Republican,Cleveland,No,2010,
"Burchett, Tim","Burchett, Tim",Senate District 7,Lost,Lost,Republican,Knoxville,No,2010,
"Burks, Charlotte","Burks, Charlotte",Senate District 15,Won,Won,Democrat,Monterey,No,2010,
"Butt, Sheila","Butt, Sheila",House of Representatives District 64,Won,Won,Republican,Columbia,No,2010,
"Byrd, Joseph","Byrd, Joseph",House of Representatives District 62,Lost,Lost,Republican,Shelbyville,No,2010,
"Cammack, Ward","Cammack, Ward",Governor,Lost,Lost,Democrat,Nashville,No,2010,
"Campbell, Scotty","Campbell, Scotty",House of Representatives District 3,Won,Won,Republican,Mountain City,No,2010,
"Campfield, Stacey","Campfield, Stacey",Senate District 7,Won,Won,Republican,Knoxville,No,2010,
"Carbaugh, Gary","Carbaugh, Gary",House of Representatives District 64,Lost,Lost,Republican,Columbia,No,2010,
"Carneal, Billy Paul","Carneal, Billy Paul",House of Representatives District 66,Lost,Won,Democrat,Springfield,No,2010,
"Carr, Joe","Carr, Joe",House of Representatives District 48,Won,Won,Republican,Lascassas,No,2010,
"Casada, Glen","Casada, Glen",House of Representatives District 63,Won,Won,Republican,College Grove,No,2010,
"Castle, Guthrie","Castle, Guthrie",House of Representatives District 83,Lost,Lost,Democrat,Germantown,No,2010,
"Chesser, James","Chesser, James",Senate District 21,Lost,Lost,Republican,Nashville,No,2010,
"Childress, Fred G.","Childress, Fred G.",House of Representatives District 32,Lost,Lost,Republican,Oak Ridge,No,2010,
"Ciparro, Nicholas","Ciparro, Nicholas",Senate District 7,Lost,Lost,Republican,Knoxville,No,2010,
"Clariday, Nathan","Clariday, Nathan",House of Representatives District 57,Lost,Lost,Independent,Mt. Juliet,No,2010,
"Clark, David","Clark, David",House of Representatives District 47,Lost,Won,Democrat,Tullahoma,No,2010,
"Clotfelter, Keith","Clotfelter, Keith",House of Representatives District 36,Lost,Won,Democrat,Jacksboro,No,2010,
"Cobb, James","Cobb, James",House of Representatives District 31,Won,Won,Republican,Spring City,No,2010,
"Cobb, Ty","Cobb, Ty",House of Representatives District 64,Lost,Won,Democrat,Culleoka,No,2010,
"Cochran, Jerome","Cochran, Jerome",House of Representatives District 4,Lost,Won,Republican,Elizabethton,No,2010,
"Cody, William F.","Cody, William F.",House of Representatives District 42,Lost,Lost,Republican,Cookeville,No,2010,
"Coleman, Kent","Coleman, Kent",House of Representatives District 49,Lost,Won,Democrat,Murfreesboro,No,2010,
"Coleman, Samuel E.","Coleman, Samuel E.",House of Representatives District 60,Lost,Won,Democrat,Antioch,No,2010,
"Coley, James","Coley, James",House of Representatives District 97,Won,Won,Republican,Bartlett,No,2010,
"Collette, Nick","Collette, Nick",House of Representatives District 3,Lost,Lost,Republican,Kingsport,No,2010,
"Collins, Jason","Collins, Jason",House of Representatives District 61,Lost,Lost,Democrat,Franklin,No,2010,
"Cook, Tim","Cook, Tim",House of Representatives District 93,Lost,Lost,Republican,Memphis,No,2010,
"Cooper, Barbara","Cooper, Barbara",House of Representatives District 86,Won,Won,Democrat,Memphis,No,2010,
"Crim, Larry","Crim, Larry",House of Representatives District 60,Lost,Lost,Democrat,Nashville,No,2010,
"Cupp, Jr., Johnny C.","Cupp, Jr., Johnny C.",House of Representatives District 33,Lost,Lost,Republican,Clinton,No,2010,
"Curtiss, Charles","Curtiss, Charles",House of Representatives District 43,Won,Won,Democrat,Sparta,No,2010,
"Davis, David R.","Davis, David R.",Governor,Lost,Lost,Independent,Brush Creek,No,2010,
"Dean, Vince","Dean, Vince",House of Representatives District 30,Won,Won,Republican,East Ridge,No,2010,
"Deberry, Jr., John","Deberry, Jr., John",House of Representatives District 90,Won,Won,Democrat,Memphis,No,2010,
"Deberry, Lois","Deberry, Lois",House of Representatives District 91,Won,Won,Democrat,Memphis,No,2010,
"Dennis, Vance","Dennis, Vance",House of Representatives District 71,Won,Won,Republican,Savannah,No,2010,
"Dickerson, Steven","Dickerson, Steven",Senate District 21,Lost,Won,Republican,Nashville,No,2010,
"Dockery, Michael","Dockery, Michael",House of Representatives District 17,Lost,Lost,Democrat,New Market,No,2010,
"Dodds, Brandon","Dodds, Brandon",Governor,Lost,Won,Independent,Newbern,No,2010,
"Dominy, Duane","Dominy, Duane",House of Representatives District 59,Lost,Won,Republican,Antioch,No,2010,
"Duck, Samuel David","Duck, Samuel David",Governor,Lost,Won,Independent,Maryville,No,2010,
"Dunn, Bill","Dunn, Bill",House of Representatives District 16,Won,Won,Republican,Knoxville,No,2010,
"Eddleman, Lee","Eddleman, Lee",Senate District 27,Lost,Lost,Republican,Threeway,No,2010,
"Edwards, George","Edwards, George",House of Representatives District 86,Lost,Lost,Republican,Millington,No,2010,
"Edwards, Lewis Johnny","Edwards, Lewis Johnny",House of Representatives District 82,Lost,Won,Republican,Ripley,No,2010,
"Eichmann, Gary T.","Eichmann, Gary T.",House of Representatives District 12,Lost,Won,Democrat,Sevierville,No,2010,
"Elam, Linda","Elam, Linda",House of Representatives District 57,Won,Won,Republican,Mt. Juliet,No,2010,
"Eldridge, Jimmy","Eldridge, Jimmy",House of Representatives District 73,Won,Won,Republican,Jackson,No,2010,
"Evans, Joshua","Evans, Joshua",House of Representatives District 66,Won,Won,Republican,Greenbrier,No,2010,
"Faulkner, Ivon","Faulkner, Ivon",House of Representatives District 83,Lost,Lost,Democrat,Memphis,No,2010,
"Faulkner, Ivon","Faulkner, Ivon",Senate District 31,Lost,Won,Democrat,Memphis,No,2010,
"Faulkner, Johnny Chad","Faulkner, Johnny Chad",House of Representatives District 36,Lost,Lost,Republican,Luttrell,No,2010,
"Favors, Joanne","Favors, Joanne",House of Representatives District 29,Won,Won,Democrat,Chattanooga,No,2010,
"Ferguson, Dennis","Ferguson, Dennis",House of Representatives District 32,Lost,Won,Democrat,Harriman,No,2010,
"Fields, Robert Coleman","Fields, Robert Coleman",House of Representatives District 57,Lost,Lost,Republican,Old Hickory,No,2010,
"Fincher, Henry","Fincher, Henry",House of Representatives District 42,Lost,Won,Democrat,Cookeville,No,2010,
"Finney, Lowe","Finney, Lowe",Senate District 27,Won,Won,Democrat,Jackson,No,2010,
"Fitzhugh, Craig","Fitzhugh, Craig",House of Representatives District 82,Won,Won,Democrat,Ripley,No,2010,
"Flanary, Kevin","Flanary, Kevin",House of Representatives District 6,Lost,Lost,Republican,Johnson City,No,2010,
"Floyd, Richard","Floyd, Richard",House of Representatives District 27,Won,Won,Republican,Chattanooga,No,2010,
"Ford, Dale","Ford, Dale",House of Representatives District 6,Won,Won,Republican,Jonesborough,No,2010,
"Ford, Ophelia","Ford, Ophelia",Senate District 29,Won,Won,Democrat,Memphis,No,2010,
"Ford, Pleas","Ford, Pleas",House of Representatives District 40,Lost,Won,Independent,Lafayette,No,2010,
"Forgety, John W.","Forgety, John W.",House of Representatives District 23,Won,Won,Republican,Athens,No,2010,
"Fraley, George","Fraley, George",House of Representatives District 39,Lost,Won,Democrat,Winchester,No,2010,
"Futrell, Adam","Futrell, Adam",House of Representatives District 57,Lost,Lost,Republican,Mt. Juliet,No,2010,
"Gatchell, David","Gatchell, David",Governor,Lost,Won,Independent,Franklin,No,2010,
"Gibbons, Bill","Gibbons, Bill",Governor,Lost,Lost,Republican,Memphis,No,2010,
"Gilbert, Vickey","Gilbert, Vickey",House of Representatives District 10,Lost,Lost,Democrat,Rogersville,No,2010,
"Gilmore, Brenda","Gilmore, Brenda",House of Representatives District 54,Won,Won,Democrat,Nashville,No,2010,
"Givens, Aubrey","Givens, Aubrey",Senate District 17,Lost,Lost,Democrat,Lebanon,No,2010,
"Gotto, Jim","Gotto, Jim",House of Representatives District 60,Won,Won,Republican,Hermitage,No,2010,
"Griffin, June","Griffin, June",Governor,Lost,Won,Independent,Dayton,No,2010,
"Ground, Nina","Ground, Nina",House of Representatives District 50,Lost,Won,Independent,Madison,No,2010,
"Grubb, Sherry Greene","Grubb, Sherry Greene",House of Representatives District 3,Lost,Lost,Republican,Bluff City,No,2010,
"Gurley, Jr., Marvin M.","Gurley, Jr., Marvin M.",House of Representatives District 3,Lost,Lost,Republican,Bluff City,No,2010,
"Hackworth, Jim","Hackworth, Jim",House of Representatives District 33,Lost,Won,Democrat,Clinton,No,2010,
"Hager, Charles E.","Hager, Charles E.",House of Representatives District 60,Lost,Lost,Democrat,Nashville,No,2010,
"Hale, James","Hale, James",House of Representatives District 40,Lost,Won,Democrat,Riverwatch,No,2010,
"Halford, Curtis","Halford, Curtis",House of Representatives District 79,Won,Won,Republican,Dyer,No,2010,
"Hall, Dave","Hall, Dave",House of Representatives District 50,Lost,Won,Republican,Goodlettsville,No,2010,
"Hall, Steve","Hall, Steve",House of Representatives District 18,Won,Won,Republican,Knoxville,No,2010,
"Hall, Toni","Hall, Toni",Governor,Lost,Won,Independent,Nashville,No,2010,
"Hardin, Jim","Hardin, Jim",House of Representatives District 81,Lost,Lost,Republican,Story,No,2010,
"Harding, Jim","Harding, Jim",Senate District 27,Lost,Lost,Republican,Huntingdon,No,2010,
"Harmon, Bill","Harmon, Bill",House of Representatives District 37,Won,Won,Democrat,Dunlap,No,2010,
"Harper, Thelma","Harper, Thelma",Senate District 19,Won,Won,Democrat,Nashville,No,2010,
"Harrison, Michael","Harrison, Michael",House of Representatives District 9,Won,Won,Republican,Rogersville,No,2010,
"Hart, James","Hart, James",House of Representatives District 75,Lost,Won,Independent,Buchanan,No,2010,
"Harwell, Beth Halteman","Harwell, Beth Halteman",House of Representatives District 56,Won,Won,Republican,Nashville,No,2010,
"Haslam, Bill","Haslam, Bill",Governor,Won,Won,Republican,Franklin,No,2010,
"Hatcher, Sam","Hatcher, Sam",Senate District 17,Lost,Lost,Democrat,Lebanon,No,2010,
"Haynes, Ryan","Haynes, Ryan",House of Representatives District 14,Won,Won,Republican,Knoxville,No,2010,
"Henry, Douglas","Henry, Douglas",Senate District 21,Won,Won,Democrat,Nashville,No,2010,
"Herron (Governor), Roy","Herron (Governor), Roy",Governor,Lost,Lost,Democrat,Dresden,No,2010,
"Hill, Matthew","Hill, Matthew",House of Representatives District 7,Won,Won,Republican,Jonesborough,No,2010,
"Hill, Robert","Hill, Robert",Senate District 29,Lost,Won,Republican,Memphis,No,2010,
"Hill, Steve","Hill, Steve",Senate District 7,Lost,Lost,Republican,Knoxville,No,2010,
"Hollis, Melanie","Hollis, Melanie",Senate District 23,Lost,Won,Independent,Franklin,No,2010,
"Holt, Andrew","Holt, Andrew",House of Representatives District 76,Won,Won,Republican,Dresden,No,2010,
"Hughes, Scott","Hughes, Scott",House of Representatives District 8,Lost,Lost,Republican,Seymour,No,2010,
"Hunt, Jenny W.","Hunt, Jenny W.",House of Representatives District 62,Lost,Won,Democrat,Bell Buckle,No,2010,
"Hurley, Julia","Hurley, Julia",House of Representatives District 32,Lost,Lost,Republican,Harriman,No,2010,
"Ihrig, B. Charles","Ihrig, B. Charles",House of Representatives District 45,Lost,Won,Democrat,Hendersonville,No,2010,
"Jackson, Douglas","Jackson, Douglas",Senate District 25,Lost,Won,Democrat,Dickson,No,2010,
"Johnson, Christian R.","Johnson, Christian R.",House of Representatives District 95,Lost,Won,Independent,Cordova,No,2010,
"Johnson, Phillip","Johnson, Phillip",House of Representatives District 78,Won,Won,Republican,Pegram,No,2010,
"Johnson, Terry David","Johnson, Terry David",House of Representatives District 44,Lost,Lost,Republican,White House,No,2010,
"Johnstone, Mark","Johnstone, Mark",House of Representatives District 80,Lost,Won,Republican,Jackson,No,2010,
"Jones, Eddie","Jones, Eddie",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2010,
"Jones, Jr., Ulysses","Jones, Jr., Ulysses",House of Representatives District 98,Won,Won,Democrat,Memphis,No,2010,
"Jones, Sherry","Jones, Sherry",House of Representatives District 59,Won,Won,Democrat,Nashville,No,2010,
"Judd, Jeffery","Judd, Jeffery",House of Representatives District 42,Lost,Lost,Independent,Cookeville,No,2010,
"Kalbes, Jay","Kalbes, Jay",House of Representatives District 45,Lost,Won,Independent,Hendersonville,No,2010,
"Katsiros, Jonathan","Katsiros, Jonathan",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2010,
"Kelsey, Brian","Kelsey, Brian",Senate District 31,Won,Won,Republican,Germantown,No,2010,
"Kenigson, Matt","Kenigson, Matt",House of Representatives District 56,Lost,Won,Democrat,Nashville,No,2010,
"Kernell, Mike","Kernell, Mike",House of Representatives District 93,Won,Won,Democrat,Memphis,No,2010,
"Ketron, Bill","Ketron, Bill",Senate District 13,Won,Won,Republican,Murfreesboro,No,2010,
"King, Geoff","King, Geoff",House of Representatives District 8,Lost,Lost,Republican,Maryville,No,2010,
"Kirkpatrick, Joe","Kirkpatrick, Joe",Governor,Lost,Lost,Republican,Gallatin,No,2010,
"Klingberg, Kevin","Klingberg, Kevin",House of Representatives District 25,Lost,Won,Independent,Crossville,No,2010,
"Knois, Floyd Michael","Knois, Floyd Michael",Governor,Lost,Won,Independent,Lewisburg,No,2010,
"Kyle (Governor), Jim","Kyle (Governor), Jim",Governor,Lost,Lost,Democrat,Memphis,No,2010,
"Laroche, David B.","Laroche, David B.",House of Representatives District 48,Lost,Won,Democrat,Murfreesboro,No,2010,
"Leadbetter, Ronald","Leadbetter, Ronald",Senate District 7,Lost,Lost,Republican,Knoxville,No,2010,
"Lee, Timothy","Lee, Timothy",House of Representatives District 55,Lost,Won,Republican,Nashville,No,2010,
"Lenning, Luther C.","Lenning, Luther C.",House of Representatives District 57,Lost,Won,Independent,Mt. Juliet,No,2010,
